PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,PASS ATT,RUSH ATT,TARGETS,TOUCHES,TOUCHES/$,own% ownership
Tre Tucker,WR,LV,BAL,358,41.5,9.5,16,3400,5.57,1.6,0,0.4,3.5,3.9,1.1,1.13
Quentin Johnston,WR,LAC,CAR,-283,39,-6.5,22.75,4100,6.39,1.6,0,0,3.9,3.9,1,1.12
Darius Slayton,WR,NYG,WAS,106,44,1.5,21.25,4100,6.45,1.6,0,0.1,3.8,3.9,0.9,1.11
Brandon Powell,WR,MIN,SF,216,45.5,6,19.75,3300,5.26,1.6,0,0.6,3.3,3.9,1.2,1.1
Jake Ferguson,TE,DAL,NO,-300,46,-6.5,26.25,4700,7.28,1.6,0,0,4,4,0.9,-
Jaylen Warren,RB,PIT,DEN,-157,36.5,-3,19.75,5400,8.47,1.6,0,7.1,2.9,10,1.9,1.08
K.J. Osborn,WR,NE,SEA,149,38,3.5,17.25,3900,6.4,1.6,0,0.1,4.1,4.2,1.1,1.05
Chuba Hubbard,RB,CAR,LAC,228,39,6.5,16.25,5300,8.45,1.6,0,10.7,2.1,12.8,2.4,1.04
Xavier Legette,WR,CAR,LAC,228,39,6.5,16.25,4700,7.4,1.6,0,0.2,5.1,5.3,1.1,0.97
Tyquan Thornton,WR,NE,SEA,149,38,3.5,17.25,3300,5.37,1.6,0,0.4,3.7,4.1,1.2,0.97
Jauan Jennings,WR,SF,MIN,-268,45.5,-6,25.75,4300,6.99,1.6,0,0.1,3.7,3.8,0.9,0.94
Kalif Raymond,WR,DET,TB,-332,51.5,-7,29.25,3500,5.06,1.5,0,0.5,2.5,3,0.9,0.91
Tyler Boyd,WR,TEN,NYJ,153,41,3.5,18.75,4400,6.37,1.5,0,0.1,4.1,4.2,1,0.87
Mike Gesicki,TE,CIN,KC,208,47.5,6,20.75,3100,4.63,1.5,0,0,2.9,2.9,0.9,0.84
Austin Ekeler,RB,WAS,NYG,-126,44,-1.5,22.75,5700,8.66,1.5,0,5.5,3.4,8.9,1.6,0.84
Chigoziem Okonkwo,TE,TEN,NYJ,153,41,3.5,18.75,4000,5.78,1.5,0,0.1,3.6,3.7,0.9,0.83
Romeo Doubs,WR,GB,IND,145,40.5,3.5,18.5,5700,8.38,1.5,0,0.1,5.1,5.2,0.9,0.79
Justice Hill,RB,BAL,LV,-468,41.5,-9.5,25.5,5200,7.1,1.4,0,2.2,3.5,5.7,1.1,0.79
Michael Mayer,TE,LV,BAL,358,41.5,9.5,16,2900,4.03,1.4,0,0,2.7,2.7,0.9,0.74
Zach Charbonnet,RB,SEA,NE,-180,38,-3.5,20.75,5800,8.2,1.4,0,8.1,2.5,10.6,1.8,0.68
Noah Gray,TE,KC,CIN,-258,47.5,-6,26.75,2800,3.96,1.4,0,0,2.1,2.1,0.8,0.66
Luke Schoonmaker,TE,DAL,NO,-300,46,-6.5,26.25,2900,4.15,1.4,0,0,2.1,2.1,0.7,0.6
Roman Wilson,WR,PIT,DEN,-157,36.5,-3,19.75,3200,4.33,1.4,0,0.1,2.6,2.7,0.9,-
Zamir White,RB,LV,BAL,358,41.5,9.5,16,5600,7.94,1.4,0,11.6,1.5,13.1,2.3,0.59
Alexander Mattison,RB,LV,BAL,358,41.5,9.5,16,5300,7.37,1.4,0,6.9,2.8,9.7,1.8,0.59
Adam Trautman,TE,DEN,PIT,132,36.5,3,16.75,2700,3.8,1.4,0,0,2.3,2.3,0.9,0.55
Rico Dowdle,RB,DAL,NO,-300,46,-6.5,26.25,4800,6.86,1.4,0,7.5,1.5,9,1.9,0.55
Gus Edwards,RB,LAC,CAR,-283,39,-6.5,22.75,5200,6.49,1.3,0,7.1,1.2,8.3,1.6,0.55
Tank Bigsby,RB,JAX,CLE,-174,42,-3.5,22.75,5100,6.45,1.3,0,7.4,1.4,8.8,1.7,-
Ty Chandler,RB,MIN,SF,216,45.5,6,19.75,5300,6.83,1.3,0,7.3,2.1,9.4,1.8,0.5
Tanner Hudson,TE,CIN,KC,208,47.5,6,20.75,2800,3.49,1.3,0,0,2,2,0.7,0.5
Juwan Johnson,TE,NO,DAL,238,46,6.5,19.75,3700,4.83,1.3,0,0,2.8,2.8,0.8,0.49
A.T. Perry,WR,NO,DAL,238,46,6.5,19.75,3400,4.28,1.3,0,0.1,2.7,2.8,0.8,0.45
Josh Whyle,TE,TEN,NYJ,153,41,3.5,18.75,2500,3.26,1.3,0,0,1.9,1.9,0.8,0.45
Dyami Brown,WR,WAS,NYG,-126,44,-1.5,22.75,3200,4.04,1.3,0,0.1,2.3,2.4,0.8,0.43
Mike Williams,WR,NYJ,TEN,-186,41,-3.5,22.25,5600,6.49,1.2,0,0,3.5,3.5,0.6,0.42
Treylon Burks,WR,TEN,NYJ,153,41,3.5,18.75,3400,4.05,1.2,0,0.3,2.6,2.9,0.8,-
Noah Brown,WR,WAS,NYG,-126,44,-1.5,22.75,3200,3.86,1.2,0,0.1,2.1,2.2,0.7,0.36
David Njoku,TE,CLE,JAX,145,42,3.5,19.25,5300,6.41,1.2,0,0,4,4,0.8,0.35
Jordan Akins,TE,CLE,JAX,145,42,3.5,19.25,3000,3.53,1.2,0,0,2.1,2.1,0.7,0.35
Johnny Mundt,TE,MIN,SF,216,45.5,6,19.75,3200,3.88,1.2,0,0,2.4,2.4,0.8,-
Luke Musgrave,TE,GB,IND,145,40.5,3.5,18.5,3400,3.93,1.2,0,0,2.3,2.3,0.7,0.32
Bucky Irving,RB,TB,DET,261,51.5,7,22.25,4900,5.92,1.2,0,7.2,1.4,8.6,1.8,0.32
Alec Pierce,WR,IND,GB,-175,40.5,-3.5,22,4500,4.94,1.1,0,0.1,3,3.1,0.7,-
Dontayvion Wicks,WR,GB,IND,145,40.5,3.5,18.5,4700,4.98,1.1,0,0.1,2.7,2.8,0.6,0.27
Calvin Austin,WR,PIT,DEN,-157,36.5,-3,19.75,3100,3.37,1.1,0,0.4,2.1,2.5,0.8,0.27
Antonio Gibson,RB,NE,SEA,149,38,3.5,17.25,4800,4.93,1,0,4.9,1.7,6.6,1.4,0.26
Jamaal Williams,RB,NO,DAL,238,46,6.5,19.75,4800,4.61,1,0,6.7,0.7,7.4,1.5,0.26
Justin Watson,WR,KC,CIN,-258,47.5,-6,26.75,3300,3.31,1,0,0,1.8,1.8,0.5,0.24
Samaje Perine,RB,KC,CIN,-258,47.5,-6,26.75,4500,4.47,1,0,2.1,1.8,3.9,0.9,0.24
MarShawn Lloyd,RB,GB,IND,145,40.5,3.5,18.5,4900,4.77,1,0,4.8,1.2,6,1.2,0.23
Jordan Whittington,WR,LAR,ARI,103,49.5,1.5,24,3500,3.5,1,0,0,1.9,1.9,0.5,0.22
Cedrick Wilson,WR,NO,DAL,238,46,6.5,19.75,3500,3.53,1,0,0.1,2.1,2.2,0.6,0.21
Ben Sinnott,TE,WAS,NYG,-126,44,-1.5,22.75,2600,2.45,0.9,0,0,1.4,1.4,0.5,0.21
Tyrone Tracy,RB,NYG,WAS,106,44,1.5,21.25,4300,3.74,0.9,0,3.1,1.2,4.3,1,0.2
Miles Sanders,RB,CAR,LAC,228,39,6.5,16.25,5200,4.54,0.9,0,6.9,1.2,8.1,1.6,0.2
Jeremy Ruckert,TE,NYJ,TEN,-186,41,-3.5,22.25,2800,2.45,0.9,0,0,1.5,1.5,0.5,0.19
Javon Baker,WR,NE,SEA,149,38,3.5,17.25,3000,2.57,0.9,0,0,0.8,0.8,0.3,0.19
Jalin Hyatt,WR,NYG,WAS,106,44,1.5,21.25,3100,2.93,0.9,0,0,1.9,1.9,0.6,0.19
Trey Benson,RB,ARI,LAR,-123,49.5,-1.5,25.5,5100,4.82,0.9,0,3.8,1.5,5.3,1,0.18
Trenton Irwin,WR,CIN,KC,208,47.5,6,20.75,3700,3.19,0.9,0,0.1,1.8,1.9,0.5,-
Cedric Tillman,WR,CLE,JAX,145,42,3.5,19.25,3100,2.67,0.9,0,0,1.8,1.8,0.6,0.18
Trey Palmer,WR,TB,DET,261,51.5,7,22.25,3300,3.1,0.9,0,0.2,1.9,2.1,0.6,0.18
Elijah Higgins,TE,ARI,LAR,-123,49.5,-1.5,25.5,2500,2.13,0.9,0,0,1.2,1.2,0.5,0.17
Malachi Corley,WR,NYJ,TEN,-186,41,-3.5,22.25,3000,2.35,0.8,0,0.1,1.3,1.4,0.5,0.15
Payne Durham,TE,TB,DET,261,51.5,7,22.25,2500,1.94,0.8,0,0,1.1,1.1,0.4,0.15
Will Mallory,TE,IND,GB,-175,40.5,-3.5,22,2500,1.92,0.8,0,0,1.1,1.1,0.4,0.14
